soc_code,Title,total_weight_impact,ability_base,n_abil,abil_base_impact,aioe,rank
11-1011.00,Chief Executives,7.771722288706059,11.088054285714286,52,0.7009094732444674,1.268992184864599,106
11-1011.03,Chief Sustainability Officers,6.363911174270756,8.992497142857143,52,0.7076912089236184,1.3492855265969457,69
11-1021.00,General and Operations Managers,5.729594285714286,8.41766,52,0.6806635437537613,1.0292875705600535,199
11-2011.00,Advertising and Promotions Managers,6.2815067165295435,9.100465714285715,52,0.69024013866334,1.1426710529141344,156
11-2021.00,Marketing Managers,6.247070351533283,9.065697142857143,52,0.6890887984776047,1.1290395940432694,161
11-2022.00,Sales Managers,5.991193881824981,8.486288571428572,52,0.7059851702422641,1.3290866345534673,76
11-2033.00,Fundraising Managers,5.728194794315632,8.167237142857143,52,0.7013626143236658,1.2743572142975352,104
11-3012.00,Administrative Services Managers,5.716629798055347,8.770468571428571,52,0.6518043764136308,0.6876052793324826,287
11-3013.00,Facilities Managers,6.168382782348541,10.479,52,0.588642311513364,-0.06021113544596603,465
11-3013.01,Security Managers,7.529036260284219,12.322517142857143,52,0.6109982378599077,0.20447509221174892,411
11-3021.00,Computer and Information Systems Managers,6.134093792071803,9.197308571428572,52,0.6669444375420173,0.8668582257083496,251
11-3031.00,Financial Managers,6.311074285714286,9.009714285714287,52,0.7004744085748715,1.2638411737010522,111
11-3031.01,Treasurers and Controllers,6.492996634255796,9.342428571428572,52,0.6950009394894349,1.1990372437735708,131
11-3031.03,Investment Fund Managers,6.576902423335826,9.471282857142857,52,0.6944046041636054,1.191976845319662,135
11-3051.00,Industrial Production Managers,6.900710426327599,11.113342857142857,52,0.6209392182922098,0.32217276973393283,380
11-3051.01,Quality Control Systems Managers,6.764531353777113,10.47562857142857,52,0.6457399007279454,0.6158040411693341,305
11-3051.02,Geothermal Production Managers,6.540435033657442,10.603482857142858,52,0.6168195037210428,0.2733968124344806,388
11-3051.03,Biofuels Production Managers,6.827098683620045,11.097622857142857,52,0.6151856817900296,0.2540529410653943,399
11-3051.04,Biomass Power Plant Managers,6.805103126402393,11.066125714285715,52,0.6149490166750416,0.2512509101616722,401
11-3051.06,Hydroelectric Production Managers,7.259309633507853,11.862748571428572,52,0.6119416246410128,0.21564445663182172,408
11-3061.00,Purchasing Managers,6.121178189977561,8.654017142857143,52,0.7073221706095028,1.3449162440313174,70
11-3071.00,"Transportation, Storage, and Distribution Managers",5.95801851907255,9.05196,52,0.6582020379091987,0.7633513191450848,270
11-3071.04,Supply Chain Managers,5.968025175766642,8.595162857142856,52,0.6943469571151897,1.19129432474126,136
