soc_code_clean,AIOE,Title,Description,Employment,Mean_Wage,has_employment_data,has_wage_data,Employment_log,Mean_Wage_log
11-1011,4.044026056557664,Chief Executives; Chief Sustainability Officers,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.; Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",1500680.0,258000.81496388305,True,True,14.22142956304562,12.460721898622744
11-1021,3.627714688816434,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",25888520.0,132587.95848893642,True,True,17.06931022379236,11.795009083952612
11-2011,3.827688556677118,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",131000.0,151587.84427480915,True,True,11.782960235741939,11.928927162905007
11-2021,3.8120778786401903,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",2723080.0,170595.45132717365,True,True,14.817274517816486,12.047056112693086
11-2022,3.809010140972814,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",4239020.0,160816.29336497586,True,True,15.259842904321088,11.988024175746457
11-2033,3.69627867216067,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",284300.0,137633.33274709815,True,True,12.557788815044091,11.832355684602073
11-3012,3.584635222961533,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",1885160.0,124398.6126907,True,True,14.449523786357508,11.73125434586356
11-3013,3.7721422446708424,Facilities Managers; Security Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.; Direct an organization's security functions, including physical security and safety of employees and facilities.",1077320.0,114131.84931125386,True,True,13.889987961869682,11.645118393724964
11-3021,3.81678962150967,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",4645420.0,186751.40603002527,True,True,15.35139256121446,12.137538986606984
11-3031,4.002699562350376,Financial Managers; Treasurers and Controllers; Investment Fund Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.; Direct financial activities, such as planning, procurement, and investments for all or part of an organization.; Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",5946870.0,179390.31028087044,True,True,15.59837575684425,12.097324789757383
11-3051,3.83073571933897,Industrial Production Managers; Quality Control Systems Managers; Geothermal Production Managers; Biofuels Production Managers; Biomass Power Plant Managers; Hydroelectric Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.; Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.; Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.; Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.; Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.; Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.",1653200.0,129122.93860391968,True,True,14.318223966507022,11.768527986476595
11-3061,3.907621384569007,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",582380.0,149709.10384972012,True,True,13.274880151706078,11.91645606211621
11-3071,3.934933944241592,"Transportation, Storage, and Distribution Managers; Supply Chain Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.; Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",1519590.0,115518.88390947558,True,True,14.233951777666855,11.657197949187399
11-3111,3.510695177456166,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",141080.0,155880.91579245817,True,True,11.857089472501789,11.956854049551989
11-3121,4.096399793931401,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",1552030.0,158888.43804565634,True,True,14.255074953752622,11.9759638811253
11-3131,3.9023327712490863,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",314990.0,140124.46712594051,True,True,12.660299345971028,11.850293494006303
11-9013,3.6798112630562967,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",35620.0,96236.06120157216,True,True,10.480690630565247,11.474569814039057
11-9021,4.009407153151885,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",2528350.0,119510.0274487314,True,True,14.743077869547529,11.691163926001876
11-9031,3.786913280043924,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",499790.0,63354.24578322896,True,True,13.121945290017976,11.056512988686125
11-9032,4.33921134454548,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",3123970.0,113552.8521080548,True,True,14.954615506928077,11.640032471291663
11-9033,4.07409221656663,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",1646270.0,124233.73334872164,True,True,14.314023288222504,11.72992806597686
11-9041,3.9171210383702855,Architectural and Engineering Managers; Biofuels/Biodiesel Technology and Product Development Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.; Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",1518450.0,174967.7312390925,True,True,14.233201294261091,12.072362558306965
11-9051,3.363869215940257,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",1816640.0,72582.75525145323,True,True,14.412499749431143,11.192496418908549
11-9071,3.8135462911561646,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",32610.0,102534.98620055198,True,True,10.39240493375324,11.537969100828157
11-9072,3.4619669212986484,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",270030.0,86801.34096211533,True,True,12.50629204620461,11.371388869894393
11-9081,3.749666285283383,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",278220.0,77692.45129753432,True,True,12.536171040885012,11.260526250918806
11-9111,3.899574049604152,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",4435330.0,138367.80169682976,True,True,15.305112804537261,11.837677875488833
11-9121,3.925927446246531,Natural Sciences Managers; Clinical Research Coordinators; Water Resource Specialists,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.; Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.; Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",777020.0,172267.60649661528,True,True,13.563222656011588,12.056810203341787
11-9131,3.790675343787927,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",106070.0,93726.49571037994,True,True,11.571863960191475,11.448146869261116
11-9141,3.490930722899417,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",1996850.0,80891.9432606355,True,True,14.507081997696467,11.300881871314138
11-9151,3.822611563297897,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",1460630.0,86532.94263434272,True,True,14.194379092097375,11.368292016348095
11-9161,4.02546045298604,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",94800.0,97743.75949367088,True,True,11.459535236710686,11.49011486509253
11-9171,3.4066518109624657,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",85300.0,85683.25205158265,True,True,11.353941456740479,11.358424331009557
11-9179,3.5138298135739436,Fitness and Wellness Coordinators; Spa Managers,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.; Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",65480.0,68147.52138057422,True,True,11.089515303207188,11.129444740346006
11-9199,3.7849618283694144,Regulatory Affairs Managers; Compliance Managers; Loss Prevention Managers; Wind Energy Operations Managers; Wind Energy Development Managers; Brownfield Redevelopment Specialists and Site Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.; Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.; Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.; Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.; Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.; Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.",4632920.0,148246.2969142571,True,True,15.34869811266696,11.906637083400367
13-1011,3.475685564686168,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",94440.0,135581.26111817025,True,True,11.455730579876976,11.817333828218441
13-1031,3.8983362306300298,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,2366950.0,78873.94097889689,True,True,14.677113186972171,11.275618851556665
13-1032,3.3547204217282496,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,54470.0,77178.36423719478,True,True,10.905423728938777,11.253887397654141
13-1041,3.8844375514969824,Compliance Officers; Environmental Compliance Inspectors; Equal Opportunity Representatives and Officers; Government Property Inspectors and Investigators; Coroners; Regulatory Affairs Specialists; Customs Brokers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.; Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.; Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.; Investigate or inspect government property to ensure compliance with contract agreements and government regulations.; Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.; Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.; Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.",3031440.0,84746.85463014277,True,True,14.924548641992143,11.34743571082368
13-1051,3.731160551937192,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",1613090.0,83115.66478001847,True,True,14.293662772130991,11.328000499607363
13-1071,3.513418618975513,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",6799770.0,79437.18918434005,True,True,15.732399493108682,11.282734503700187
13-1074,2.8575627957566554,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",1890.0,53576.13756613757,True,True,7.544861068658458,10.888877718120513
13-1075,3.7957369862728094,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",500880.0,96932.76493371668,True,True,13.124123826903384,11.481783188512138
13-1081,4.009722745646889,Logisticians; Logistics Engineers; Logistics Analysts,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.; Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.; Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",1701740.0,87805.86623103412,True,True,14.347162402622788,11.382894979652455
13-1111,3.964749933323083,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",6523700.0,111921.97625580576,True,True,15.690952410894116,11.625566201693125
13-1121,3.630630290172733,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",980440.0,64872.04979397005,True,True,13.79575774942712,11.080187559037082
13-1131,3.666056253599902,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.",789140.0,73495.8042932813,True,True,13.578700291086111,11.204997205252713
13-1141,3.546368779391056,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",759000.0,82461.68194993412,True,True,13.539758373899955,11.320101129985375
13-1151,3.841692629398832,Training and Development Specialists,Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.,3246970.0,74031.8258253079,True,True,14.993233119723879,11.212263866062248
